nominative,inessive,type
apokryfinen,apokryfisessä,38
apologeettinen,apologeettisessa,38
apostolinen,apostolisessa,38
apposet,—,38
apriorinen,apriorisessa,38
apulainen,apulaisessa,38
arabialainen,arabialaisessa,38
arastelu,arastelussa,2
aristokraattinen,aristokraattisessa,38
aritmeettinen,aritmeettisessä,38
arjalainen,arjalaisessa,38
arkaainen,arkaaisessa,38
arkaistinen,arkaistisessa,38
arkeologinen,arkeologisessa,38
arkinen,arkisessa,38
arkisto,arkistossa,2
arkkitehtoninen,arkkitehtonisessa,38
arktinen,arktisessa,38
arkullinen,arkullisessa,38
armahainen,armahaisessa,38
armahtavainen,armahtavaisessa,38
armainen,armaisessa,38
armas,armaassa,41
armelias,armeliaassa,41
armias,armiaassa,41
armoinen,armoisessa,38
armollinen,armollisessa,38
aromaattinen,aromaattisessa,38
aromikas,aromikkaassa,41
arpajaiset,–,38
arpinen,arpisessa,38
arteesinen,arteesisessa,38
artistinen,artistisessa,38
arvailu,arvailussa,2
arvelevainen,arvelevaisessa,38
arvelu,arvelussa,2
arvoinen,arvoisessa,38
arvoituksellinen,arvoituksellisessa,38
arvokas,arvokkaassa,41
arvollinen,arvollisessa,38
arvomerkintäinen,arvomerkintäisessä,38
arvostelu,arvostelussa,2
asbestikangas,asbestikankaassa,41
ase,aseessa,48
aseellinen,aseellisessa,38
-aseinen,-aseisessa,38
aseistakieltäytyminen,aseistakieltäytymisessä,38
asemo,asemossa,2
asenne,asenteessa,48
asenteellinen,asenteellisessa,38
-asenteinen,-asenteisessa,38
aseptinen,aseptisessa,38
asete,asetteessa,48
asettelu,asettelussa,2
asfalttinen,asfalttisessa,38
asiakas,asiakkaassa,41
asiallinen,asiallisessa,38
askartelu,askartelussa,2
askeettinen,askeettisessa,38
askelittainen,askelittaisessa,38
asosiaalinen,asosiaalisessa,38
assosiatiivinen,assosiatiivisessa,38
assyrialainen,assyrialaisessa,38
astalo,astalossa,2
aste,asteessa,48
asteeninen,asteenisessa,38
-asteikkoinen,-asteikkoisessa,38
asteikollinen,asteikollisessa,38
-asteinen,-asteisessa,38
asteittainen,asteittaisessa,38
astelu,astelussa,2
astiallinen,astiallisessa,38
